title,均价,总价,面积,地址,户型,area,朝向,装修,楼层,建造时间,建筑材料
居家精装修，地铁口，通透户型，采光好，看房方便必看好房,24971,355,1.4216E+02,星海虹城 ,3室2厅 ," 142.17平米 "," 南 "," 简装 "," 高楼层(共18层) "," 2006年建 "," 板楼"
2号线小龟山站  精装修，集中供暖 看房方便 诚心出售必看好房,27083,385,1.4216E+02,星海虹城 ,3室2厅 ," 142.16平米 "," 南 北 "," 精装 "," 中楼层(共18层) "," 2006年建 "," 板楼"
东湖熙园 2室2厅 235万必看好房,24265,235,9.685E+01,东湖熙园 ,2室2厅 ," 96.85平米 "," 南 "," 精装 "," 中楼层(共21层) "," 2008年建 "," 板楼"
汉街壹号公馆  证满二年  湖景好的一栋楼必看好房,33419,588,1.7595E+02,汉街壹号公馆 ,3室2厅 ," 175.95平米 "," 南 北 "," 精装 "," 中楼层(共46层) "," 2015年建 "," 板楼"
内沙湖新河街地铁站旁 电梯小三房 总价低 价格可谈必看好房,23448,230,9.809E+01,阳光水岸 ,3室2厅 ," 98.09平米 "," 南 西北 "," 简装 "," 中楼层(共11层)  ",无," 板楼"
汉街壹号公馆 3室2厅 605万必看好房,31517,605,1.9196E+02,汉街壹号公馆 ,3室2厅 ," 191.96平米 "," 南 北 "," 精装 "," 高楼层(共46层) "," 2016年建 "," 板楼"
楚河汉街 繁华商圈 万达精品壹居室必看好房,30231,190,6.285E+01,万达御湖世家行政公馆 ,1室1厅 ," 62.85平米 "," 南 "," 其他 "," 低楼层(共17层) "," 2018年建 "," 板楼"
万达御湖世家 新证 未入住 沙湖一线湖景房  底价出售必看好房,45218,1385,3.0629E+02,万达御湖世家 ,4室2厅 ," 306.3平米 "," 南 北 "," 精装 "," 高楼层(共52层) "," 2016年建 "," 板楼"
万达旁，交通便利，生活方便，成型小区环境必看好房,28488,136,4.774E+01,中国铁建1818中心 ,1室1厅 ," 47.74平米 "," 南 "," 精装 "," 低楼层(共33层) "," 2014年建 "," 板楼"
汉街壹号公馆 通透三房 奢华家具 底价出售 产权清晰必看好房,32016,550,1.7179E+02,汉街壹号公馆 ,3室2厅 ," 171.79平米 "," 南 "," 精装 "," 低楼层(共46层) "," 2015年建 "," 板楼"
楚河汉街，万达御湖世家，精装四房 ，诚心出售必看好房,35259,840,2.3824E+02,万达御湖世家 ,4室1厅 ," 238.24平米 "," 东南 南 "," 精装 "," 低楼层(共48层) "," 2014年建 "," 板楼"
楚河汉街旁 凯德1818 一室 看房预约必看好房,32259,125,3.875E+01,中国铁建1818中心 ,1室1厅 ," 38.75平米 "," 东南 "," 精装 "," 高楼层(共30层) "," 2014年建 "," 板楼"
两证满二，后期税费少，中高楼层，采光足，全明户型,29694,260,8.756E+01,中国铁建1818中心 ,2室2厅 ," 87.56平米 "," 南 "," 精装 "," 中楼层(共43层) "," 2014年建 "," 板楼"
楚河汉街地铁口 凯德1818  通透三房 证满 随时看房,29549,380,1.286E+02,中国铁建1818中心 ,3室1厅 ," 128.6平米 "," 南 北 "," 毛坯 "," 中楼层(共43层) "," 2014年建 "," 板楼"
小龟山地铁口 星海虹城 户型通透,27860,500,1.7947E+02,星海虹城 ,4室2厅 ," 179.47平米 "," 南 "," 毛坯 "," 低楼层(共18层) "," 2006年建 "," 板楼"
阳光水岸 2室2厅 215万,23632,215,9.098E+01,阳光水岸 ,2室2厅 ," 90.98平米 "," 东 南 西 "," 简装 "," 中楼层(共11层) "," 2004年建 "," 板楼"
安顺花园南北通透，户型方正，三房两卫，中间楼层。,23347,299,1.2807E+02,安顺花园 ,3室2厅 ," 128.07平米 "," 南 北 "," 简装 "," 低楼层(共12层) "," 2000年建 "," 塔楼"
大四房，全明格局，集中供暖，出门有地铁站,26620,499,1.8745E+02,星海虹城 ,4室2厅 ," 187.46平米 "," 南 北 "," 精装 "," 低楼层(共32层) "," 2012年建 "," 板楼"
洪山广场+两房*三房+闹中取静+看房方便+交通便利,21878,203,9.279E+01,体育馆路12号 ,2室2厅 ," 92.79平米 "," 南 "," 简装 "," 中楼层(共8层) "," 1995年建 "," 板楼"
小龟山地铁，电视台宿舍，精装两居室，中间楼层，朝南,21993,170,7.73E+01,彩电中心 ,2室1厅 ," 77.3平米 "," 南 "," 精装 "," 中楼层(共7层) "," 2003年建 "," 板楼"
4号线楚河汉街站，高层两房，满两年，明厨明卫,30597,180,5.883E+01,中国铁建1818中心 ,2室1厅 ," 58.83平米 "," 南 "," 简装 "," 高楼层(共24层) "," 2014年建 "," 板楼"
位于优质商圈，交通便利，邻近地铁4号线楚河汉街站,21823,300,1.3747E+02,安顺花园 ,3室2厅 ," 137.47平米 "," 南 北 "," 简装 "," 高楼层(共8层) "," 2000年建 "," 塔楼"
汉街中北领寓 通透2房 边户三面采光 东南向 户型方正,25149,190,7.555E+01,中北领寓 ,2室2厅 ," 75.55平米 "," 南 东 "," 简装 "," 中楼层(共25层) "," 2001年建 "," 塔楼"
姚家岭家乐福背后   带15平院子    急售,24868,117,4.705E+01,姚家岭1到1000号 ,2室1厅 ," 47.05平米 "," 南 "," 其他 "," 低楼层(共6层) "," 1994年建 "," 塔楼"
精装房，南朝向，客厅出去有个大阳台，采光充足房主自荐,30402,300,9.868E+01,中国铁建1818中心 ,2室1厅 ," 98.68平米 "," 南 "," 精装 "," 高楼层(共43层) "," 2014年建 "," 板楼"
洪山广场+单位宿舍正规三房 诚心出售 中间楼层采光好,19325,230,1.1902E+02,体育馆路1到100号 ,3室2厅 ," 119.02平米 "," 东南 北 "," 简装 "," 中楼层(共6层) "," 1998年建 "," 塔楼"
精装四房，中间楼层，正规户型，业主诚心出售房主自荐,19673,388,1.9722E+02,安顺花园 ,4室2厅 ," 197.23平米 "," 南 北 "," 精装 "," 低楼层(共12层) "," 2000年建 "," 塔楼"
楚河汉街 长城汇 电梯三房 满两年 高层无遮挡 有钥匙,25860,310,1.1988E+02,长城汇 ,3室1厅 ," 119.88平米 "," 东南 "," 精装 "," 高楼层(共34层) "," 2016年建 "," 塔楼"
