title,均价,总价,面积,地址,户型,area,朝向,装修,楼层,建造时间,建筑材料
街道口珞狮南湖狮城翰园 大三房必看好房,17748,1.9E+02,1.0705E+02,狮城翰园 ,3室1厅 ," 107.06平米 "," 东南 西 "," 简装 "," 高楼层(共17层) "," 2011年建 "," 板楼"
广埠屯H出口楼梯房可以陪读实得面积大必看好房,23152,1.55E+02,6.695E+01,教委成教中心 ,3室2厅 ," 66.95平米 "," 南 北 "," 精装 "," 低楼层(共1层)  ",无," 暂无数据"
中南街道口亚贸后-精装修一室拎包入住降价急卖！必看好房,23975,8.3E+01,3.462E+01,天下龙岭广场 ,1室1厅 ," 34.62平米 "," 东 "," 精装 "," 低楼层(共21层) "," 2016年建 "," 板塔结合"
狮城名居 新出南北通透大两居 高楼层不临街 老证税少必看好房,17291,1.9E+02,1.0988E+02,狮城名居 ,2室2厅 ," 109.89平米 "," 南 北 "," 精装 "," 高楼层(共13层) "," 2002年建 "," 塔楼"
街道口朝南大两房，生活便利，交通方便！必看好房,17692,1.83E+02,1.0344E+02,岭秀华庭 ,2室2厅 ," 103.44平米 "," 南 "," 精装 "," 高楼层(共21层) "," 2009年建 "," 塔楼"
珞狮南路满二电梯房，一室一厅带天燃气必看好房,18897,1.2E+02,6.35E+01,狮城风华新都 ,1室2厅 ," 63.5平米 "," 北 "," 简装 "," 高楼层(共13层) "," 2006年建 "," 板楼"
理工大南门 公安局宿舍优质两房必看好房,16779,1.38E+02,8.225E+01,公安局宿舍 ,2室2厅 ," 82.25平米 "," 南 北 "," 简装 "," 中楼层(共8层) "," 2001年建 "," 板楼"
街道口地铁口 未来城 正规一居室公寓 诚心出售必看好房,13878,6.5E+01,4.684E+01,未来城 ,1室1厅 ," 46.84平米 "," 南 "," 精装 "," 低楼层(共30层)  ",无," 塔楼"
街道口地铁 旁大两房  精装拎包入住  三面采光视野好必看好房,19778,1.58E+02,7.989E+01,马房山经济适用房 ,2室1厅 ," 79.89平米 "," 南 西 北 "," 精装 "," 中楼层(共6层)  ",无," 板塔结合"
狮城风华新都 狮城名居三期 优质三房 不临街高楼层必看好房,17891,2.11E+02,1.1794E+02,狮城风华新都 ,3室2厅 ," 117.94平米 "," 南 "," 简装 "," 高楼层(共18层) "," 2006年建 "," 板楼"
茶港军转小区 两室两厅 中间楼层 视野采光好 诚售必看好房,31370,2.7E+02,8.607E+01,茶港军转小区 ,2室2厅 ," 86.07平米 "," 南 北 "," 简装 "," 中楼层(共8层) "," 2003年建 "," 板楼"
此房两证满二，南北通透，中间楼层，采光好必看好房,21872,1.55E+02,7.087E+01,金桥花园 ,2室1厅 ," 70.87平米 "," 南 北 "," 简装 "," 中楼层(共6层) "," 1999年建 "," 板楼"
