title,房子ID,均价,总价,小区,小区ID,户型,area,朝向,装修,楼层,建造时间,建筑材料
小区绿化高、环境好，近南湖，不沿马路；中间楼层。,104103530171,19849,2.7E+02,南湖景苑 ,3711059886033,3室2厅 ,1.3603E+02," 南 "," 精装 "," 中楼层(共18层) ",2002," 塔楼"
二环华师体院旁南湖红馆 简装大四房 南北通透满五唯一,104102452172,19673,2.51E+02,南湖景苑 ,3711059886033,4室2厅 ,1.2759E+02," 南 北 "," 其他 "," 中楼层(共18层) ",2002," 塔楼"
街道口珞狮南湖南湖景苑精装三房户型方形通风交通便捷,104102608366,20643,2.1E+02,南湖景苑 ,3711059886033,3室2厅 ,1.0173E+02," 南 "," 精装 "," 中楼层(共18层) ",2002," 塔楼"
石牌岭南北通透三居室，采光好，户型好，闹中取静,104102755878,16618,1.35E+02,武汉市盲校住宅小区 ,3710908543234056,3室1厅 ,8.124E+01," 南 北 "," 精装 "," 高楼层(共7层) ",2000," 板楼"
狮城名居5栋！新出南北通透大三房 不临街 证满五唯一,104102630969,17679,2.69E+02,狮城名居 ,3711059895342,3室2厅 ,1.5216E+02," 南 北 "," 简装 "," 低楼层(共13层) ",2002," 塔楼"
南北通透 竹苑小区大三房 提前预约可看房,104102696310,20300,2.7E+02,竹苑小区 ,3711059705339,3室2厅 ,1.3301E+02," 南 北 "," 其他 "," 中楼层(共7层) ",2000," 塔楼"
亚贸街道口、鹏程惠园、南北通透三房、中高层满两年,104102866492,23864,2.85E+02,鹏程蕙园 ,3711099456436,3室2厅 ,1.1943E+02," 南 北 "," 精装 "," 高楼层(共30层) ",2006," 塔楼"
狮城风华新都，三房，14%公摊，有车库可一起出售,104102931073,18468,2.35E+02,狮城风华新都 ,3711059891662,3室2厅 ,1.2725E+02," 南 北 "," 简装 "," 低楼层(共8层) ",2006," 板楼"
珞狮南路 狮城名居 大三房 诚心卖 看房方便,104102993158,17130,2.7E+02,狮城名居 ,3711059895342,3室2厅 ,1.5762E+02," 南 "," 其他 "," 低楼层(共17层) ",2002," 塔楼"
狮城风华新都精装大三房 大阳台采光视野无遮挡,104103008936,22226,2.7E+02,狮城风华新都 ,3711059891662,3室2厅 ,1.2148E+02," 南 "," 精装 "," 中楼层(共13层) ",2006," 板楼"
广埠屯广八路武汉大学华师 精装修两室两厅,104103020371,30946,2.6E+02,银海雅苑 ,3714166779005561,2室2厅 ,8.402E+01," 东南 南 "," 精装 "," 高楼层(共32层) ",2006," 塔楼"
圆梦美丽家园 邻近华师 品质小区 近地铁  值得拥有,104103037891,17146,2.69E+02,圆梦美丽家园 ,3715507656838741,4室2厅 ,1.5689E+02," 南 "," 毛坯 "," 高楼层(共11层) ",2002," 板楼"
狮城风华新都 小高层 电梯三房 带40平米阁楼 有钥匙,104103052855,19940,2.25E+02,狮城风华新都 ,3711059891662,3室2厅 ,1.1284E+02," 南 "," 简装 "," 高楼层(共8层) ",2006," 板楼"
街道口 武汉大学旁 街道口商圈 位置便利 交通方便,104103117229,23947,1.92E+02,四眼井社区 ,3717092666208620,3室2厅 ,8.018E+01," 南 "," 简装 "," 高楼层(共6层) ",1996," 板楼"
街道口未来城高区通透户型，带露台,104103176382,25083,2.58E+02,未来城 ,379527594332237,3室2厅 ,1.0286E+02," 南 北 "," 其他 "," 高楼层(共30层) ",2010," 塔楼"
2梯三户，此房位于中间楼层非顶楼，采光视野好,104103262624,20952,2.85E+02,南湖景苑 ,3711059886033,3室2厅 ,1.3603E+02," 南 "," 精装 "," 高楼层(共18层) ",2002," 塔楼"
中南丁字桥精装大四房业主 诚心出售,104103269893,23084,3.09E+02,市政小区(洪山) ,3720021477133563,5室2厅 ,1.3386E+02," 南 北 "," 简装 "," 高楼层(共7层) ",1999," 板楼"
亚贸广场商圈，居家产证满二电梯小两房，全明格局。,104103363241,20376,1.4E+02,岭秀华庭 ,3711059797597,2室2厅 ,6.871E+01," 南 "," 简装 "," 高楼层(共21层) ",2009," 塔楼"
街道口石牌岭新小区，交通方便，生活便捷。满二,104103369396,20665,2.35E+02,天下龙岭广场 ,3711063460045,3室2厅 ,1.1372E+02," 南 北 "," 简装 "," 高楼层(共29层) ",2016," 板楼"
边户通透的大四房，中间楼层视野采光好，业主很诚心卖,104103436262,19919,3.09E+02,南湖景苑 ,3711059886033,4室2厅 ,1.5513E+02," 南 "," 毛坯 "," 中楼层(共11层) ",2009," 板楼"
京韵花园 2室2厅 145万,104103485924,22271,1.45E+02,京韵花园 ,3711059698165,2室2厅 ,6.511E+01," 东南 "," 其他 "," 中楼层(共7层)  ",0," 暂无数据"
玉兰苑 5室2厅 380万,104102083308,20130,3.8E+02,玉兰苑 ,3710954898157800,5室2厅 ,1.8878E+02," 南 "," 精装 "," 高楼层(共8层) ",2002," 板楼"
街道口CD口旁三居室诚意出售，看房方便！,104102847900,18216,2.556E+02,鹏程国际 ,3710452466675519,3室2厅 ,1.4032E+02," 南 "," 其他 "," 中楼层(共30层) ",2004," 塔楼"
二环内，总价低，居住办公环境好，交通方便,104101689658,12894,1.5E+02,春林庭苑 ,3711058328381,3室1厅 ,1.1634E+02," 南 "," 简装 "," 低楼层(共27层) ",2006," 板塔结合"
广八路 户型通透 均价便宜 看房预约,104102455669,19639,3E+02,珞南工商所宿舍 ,3714120532609477,4室2厅 ,1.5276E+02," 东 "," 简装 "," 高楼层(共8层)  ",0," 板楼"
两证满二，居家精装，视野好，交通便利,104102979790,35644,4.5E+02,银海东湖珞珈 ,3718044301379637,3室2厅 ,1.2625E+02," 南 北 "," 精装 "," 高楼层(共26层) ",2013," 板楼"
